# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Dec 01 10:35:22 CET 2022 [seed=1669887316577]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.AB.country.cont0.dump.txt RSV.AB.country.xml
state	joint	prior	likelihood	country.clock.rate.A	country.clock.rate.B	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.branchRates.A	country.branchRates.B	country.treeLikelihood.A	country.treeLikelihood.B
480000	-3489.441476762131	-300.68244609707904	-3188.759030665052	0.08734848920583971	0.14642325603788228	1.223723264780516	-0.7623716923199676	-0.5527052197076747	0.49352477454536814	3.176774189436171	1.0	1.0	1.0	1.0	0.0	4.0	1.223723264780516	-0.7623716923199676	-0.5527052197076747	0.49352477454536814	0.0	0.0	0.0	-1464.5749194416785	-1724.1841112233733
490000	-3477.2872093087385	-313.4135865016954	-3163.873622807043	0.09122362408168096	0.14993708502079142	1.4794841006528023	-2.790737989637621	-0.5137463369987839	0.7051479712595982	-2.3127475933620216	1.0	0.0	1.0	1.0	0.0	3.0	1.4794841006528023	-0.0	-0.5137463369987839	0.7051479712595982	-0.0	0.0	0.0	-1460.5675159659145	-1703.3061068411282
500000	-3473.487339852106	-316.8864380392872	-3156.600901812819	0.08697564400849458	0.16544649161667213	1.3535447047892255	-0.8876889065664504	-0.5398787143816299	0.6365304025707254	1.0303494368035653	1.0	1.0	1.0	1.0	0.0	4.0	1.3535447047892255	-0.8876889065664504	-0.5398787143816299	0.6365304025707254	0.0	0.0	0.0	-1456.2334757408923	-1700.3674260719265
510000	-3500.163484822488	-311.0899030271625	-3189.0735817953255	0.08320021680361123	0.16526973947253412	1.4709787903644174	3.4076316263184836	-0.5529343762597725	0.6338924138831343	0.22226886827738604	1.0	0.0	1.0	1.0	1.0	4.0	1.4709787903644174	0.0	-0.5529343762597725	0.6338924138831343	0.22226886827738604	0.0	0.0	-1479.982682997013	-1709.0908987983125
520000	-3475.7173537181725	-284.9606494853039	-3190.7567042328687	0.08023319423992473	0.14613272620422701	1.4242066821478987	-1.3210790705493627	-0.6301618323388228	0.6452572176145398	1.3783109615492144	1.0	1.0	1.0	1.0	0.0	4.0	1.4242066821478987	-1.3210790705493627	-0.6301618323388228	0.6452572176145398	0.0	0.0	0.0	-1459.9083022152201	-1730.8484020176486
530000	-3491.3600800340287	-348.9096406330694	-3142.450439400959	0.09308828318131802	0.18335639062137954	1.4937016425268435	-2.253210470922046	-0.5658526638710114	0.5596127927726643	1.8152499774603101	1.0	0.0	1.0	1.0	0.0	3.0	1.4937016425268435	-0.0	-0.5658526638710114	0.5596127927726643	0.0	0.0	0.0	-1455.1381168377936	-1687.3123225631655
540000	-3480.1563459994177	-330.96063476374763	-3149.19571123567	0.09043829703947515	0.17078258798154103	1.425046832981207	-2.0914665991259365	-0.4467349958408636	0.5160495432196848	0.2680513338260153	1.0	0.0	1.0	1.0	1.0	4.0	1.425046832981207	-0.0	-0.4467349958408636	0.5160495432196848	0.2680513338260153	0.0	0.0	-1463.096470929413	-1686.099240306257
550000	-3482.9680004518036	-305.0681976930318	-3177.899802758772	0.08525842438330337	0.15748656245712775	1.5497878052997232	0.47725064080809254	-0.5768839773757259	0.6873639070317892	0.17888305709950392	1.0	0.0	1.0	1.0	1.0	4.0	1.5497878052997232	0.0	-0.5768839773757259	0.6873639070317892	0.17888305709950392	0.0	0.0	-1467.5681698234894	-1710.3316329352824
560000	-3478.6056631889874	-306.78905744792036	-3171.816605741067	0.08719867493050987	0.15352244826442174	1.3083519772208585	-0.7671954766756144	-0.48711748740996175	0.5496771304991439	0.7453963229843736	1.0	1.0	1.0	1.0	0.0	4.0	1.3083519772208585	-0.7671954766756144	-0.48711748740996175	0.5496771304991439	0.0	0.0	0.0	-1457.573714807553	-1714.2428909335142
570000	-3490.256420078995	-320.3829947072003	-3169.8734253717944	0.0850634820655904	0.165843842861606	1.5917396355097448	-0.07560093939061913	-0.5349361244939032	0.5351372303395132	0.30523381457569543	1.0	1.0	1.0	1.0	1.0	5.0	1.5917396355097448	-0.07560093939061913	-0.5349361244939032	0.5351372303395132	0.30523381457569543	0.0	0.0	-1466.4724651244385	-1703.400960247356
