# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Dec 01 10:35:11 CET 2022 [seed=1669887305152]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.AB.country.cont0.dump.txt RSV.AB.country.xml
state	joint	prior	likelihood	country.clock.rate.A	country.clock.rate.B	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefficients6	country.coefficients7	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.coefIndicators6	country.coefIndicators7	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.coefficientsTimesIndicators6	country.coefficientsTimesIndicators7	country.branchRates.A	country.branchRates.B	country.treeLikelihood.A	country.treeLikelihood.B
290000	-3332.3578119920567	-232.15462169175316	-3100.2031903003035	0.06320010222722716	0.11393653384712213	1.093073637226497	-0.8811905670354305	-0.37526244236234496	-0.1351507734511361	0.6358968548700745	1.223068359957088	0.9471253008858771	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	1.093073637226497	-0.0	-0.37526244236234496	-0.0	0.0	1.223068359957088	0.9471253008858771	0.0	0.0	-1453.491131175561	-1646.7120591247428
300000	-3312.984729444996	-266.5962516264821	-3046.388477818514	0.07047852296139362	0.136001363776235	1.0119933025408816	2.0955253037298123	-0.3764017623671123	0.31023338626938424	1.2709319859987975	1.1570286162644028	0.9266872484873155	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	1.0119933025408816	0.0	-0.3764017623671123	0.0	0.0	1.1570286162644028	0.9266872484873155	0.0	0.0	-1435.0333747253776	-1611.3551030931364
310000	-3327.2166981662813	-253.10862820896287	-3074.1080699573185	0.06620903280718876	0.128956071267207	1.0979496868542344	-1.1995980772290022	-0.3346539938655419	0.27320097911125607	-2.2792706463345414	1.1638790755807595	0.8189339466343333	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.0979496868542344	-0.0	-0.3346539938655419	0.27320097911125607	-0.0	1.1638790755807595	0.8189339466343333	0.0	0.0	-1450.3302023402593	-1623.7778676170592
320000	-3324.05084903284	-263.4035344691568	-3060.647314563683	0.07579381560325328	0.12048496926661091	0.9038883772258233	-0.03859835250898322	-0.23409824026589268	-0.8469711043959872	-5.441653488177738	1.2329430916387636	0.7488041066640763	1.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	0.9038883772258233	-0.03859835250898322	-0.23409824026589268	-0.0	-0.0	1.2329430916387636	0.7488041066640763	0.0	0.0	-1433.6627342330005	-1626.984580330682
330000	-3316.573200687495	-281.7253700476111	-3034.847830639884	0.08399681781560668	0.12756317420528182	0.9593342012666664	-2.888821414565107	-0.2557798689739518	0.7851547123084766	1.9226674042535044	1.111354859485583	0.8755437289434702	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.9593342012666664	-0.0	-0.2557798689739518	0.0	0.0	1.111354859485583	0.8755437289434702	0.0	0.0	-1414.5301497406167	-1620.317680899267
340000	-3318.30975233379	-250.89172193555189	-3067.4180303982384	0.06931426215511231	0.11864891719533167	1.243359237430375	-1.3989125363281019	-0.35123644765583734	0.1832157062299329	3.1099423867479166	1.1258815633804755	0.7945502774990507	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.243359237430375	-0.0	-0.35123644765583734	0.1832157062299329	0.0	1.1258815633804755	0.7945502774990507	0.0	0.0	-1438.817116409514	-1628.6009139887242
350000	-3314.8942945475187	-251.65350870538956	-3063.2407858421293	0.07062264225072701	0.12089767982921622	0.9597362759867252	2.0036717203725996	-0.2572379027003808	-0.06873958529762637	-0.72200960818469	1.2586843464818995	0.9231165732673074	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.9597362759867252	0.0	-0.2572379027003808	-0.0	-0.0	1.2586843464818995	0.9231165732673074	0.0	0.0	-1440.958007972499	-1622.28277786963
360000	-3323.9517342052823	-235.3508848963829	-3088.6008493088993	0.06464127737966884	0.12064099235666506	0.962891502109373	-2.3479055580600487	-0.3117657520934166	-0.3655412765864196	0.9322491624705832	1.437878927473238	0.8734377096036284	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.962891502109373	-0.0	-0.3117657520934166	-0.0	0.0	1.437878927473238	0.8734377096036284	0.0	0.0	-1459.7126345905194	-1628.88821471838
370000	-3328.53558501541	-247.0347076858963	-3081.500877329514	0.0749359529382719	0.10897063722421275	0.9180278951543804	-0.19832957862352124	-0.26072399135924146	-0.2879750167623056	1.6230635803228708	1.255618479551391	0.7228741676523989	1.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	0.9180278951543804	-0.19832957862352124	-0.26072399135924146	-0.0	0.0	1.255618479551391	0.7228741676523989	0.0	0.0	-1436.6787277983954	-1644.8221495311186
380000	-3303.9901449696267	-252.2922805259826	-3051.697864443644	0.06645718238716052	0.1285916029622474	0.9138928656917551	-1.863640621956055	-0.30452913761294775	-0.16214466866936517	-1.075167009729677	1.125156815127768	0.7558338055032592	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.9138928656917551	-0.0	-0.30452913761294775	-0.0	-0.0	1.125156815127768	0.7558338055032592	0.0	0.0	-1432.746385211803	-1618.951479231841
