# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 30 14:30:20 CET 2022 [seed=1669815016066]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.A.1213.country.cont0.dump.txt RSV.A.1213.country.xml
state	joint	prior	likelihood	country.clock.rate	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefficients6	country.coefficients7	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.coefIndicators6	country.coefIndicators7	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.coefficientsTimesIndicators6	country.coefficientsTimesIndicators7	country.branchRates	c_allTransitions[1]
3210000	-1537.7625538308753	-96.11690936473943	-1441.6456444661358	0.04988304084068483	0.6182859101527421	-1.3993396961004037	-0.38301014957212093	2.1631945807653543	-0.005868582056148035	1.1843139727510115	0.8823333429573595	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.6182859101527421	-0.0	-0.38301014957212093	0.0	-0.0	1.1843139727510115	0.8823333429573595	0.0	330.0
3220000	-1546.1674419153428	-92.97225412230381	-1453.195187793039	0.04830540841937376	0.6075204008582139	-0.9247588236449749	-0.36913931651321225	-2.1112433457683757	-3.2124431487430156	1.2088104256122356	0.7774019604391199	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.6075204008582139	-0.0	-0.36913931651321225	-0.0	-0.0	1.2088104256122356	0.7774019604391199	0.0	332.0
3230000	-1527.7021341826332	-105.36438920556678	-1422.3377449770664	0.054607145501913194	0.8742515932731896	-1.8695306677914858	-0.3196481497634277	2.328658886096092	-2.897227898642886	1.0223204566258006	0.9506556603917982	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.8742515932731896	-0.0	-0.3196481497634277	0.0	-0.0	1.0223204566258006	0.9506556603917982	0.0	345.0
3240000	-1538.7133089331373	-106.32227635240577	-1432.3910325807315	0.05529917974920049	0.8235869885298193	-0.20653321401828148	-0.3840947181211382	1.740259786832465	-1.4097083702700277	1.278035050927615	0.8741521802780522	1.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	0.8235869885298193	-0.20653321401828148	-0.3840947181211382	0.0	-0.0	1.278035050927615	0.8741521802780522	0.0	333.0
3250000	-1531.149826368909	-78.6123036966437	-1452.5375226722654	0.038592709106440866	0.7678686325590834	-3.1080098340041205	-0.3306806491725436	0.9261823180352926	3.2285419926196193	1.3551528068887821	0.8764033735856595	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.7678686325590834	-0.0	-0.3306806491725436	0.0	0.0	1.3551528068887821	0.8764033735856595	0.0	324.0
3260000	-1528.1035834643362	-94.0795539392578	-1434.0240295250785	0.04840788612069467	0.6944374524019686	-4.143688562121308	-0.4313162114006876	1.039198625730573	0.500572440172274	1.0668052302029596	0.9063254501424459	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.6944374524019686	-0.0	-0.4313162114006876	0.0	0.0	1.0668052302029596	0.9063254501424459	0.0	325.0
3270000	-1525.08363845729	-87.21837200660694	-1437.865266450683	0.045425647228356965	0.7105729672437141	-1.028737599052221	-0.40066576252636116	3.048889307286688	1.0766095598646577	1.1961003177503589	0.873812929058779	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.7105729672437141	-0.0	-0.40066576252636116	0.0	0.0	1.1961003177503589	0.873812929058779	0.0	322.0
3280000	-1526.3630334585473	-93.06441132272587	-1433.2986221358215	0.04889821472359678	0.5851115695923771	-1.4383161800061286	-0.2725256077305507	1.6735952385675203	0.32178457339341876	1.2079663041427293	0.7922863877899289	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.5851115695923771	-0.0	-0.2725256077305507	0.0	0.0	1.2079663041427293	0.7922863877899289	0.0	323.0
3290000	-1529.8662707915662	-87.11193928154078	-1442.7543315100254	0.0456016278037522	0.710859921679249	1.8902512094827453	-0.3804717256955656	-1.1403906194212547	0.44303388210767913	1.2472367409033123	0.8689733263197619	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.710859921679249	0.0	-0.3804717256955656	-0.0	0.0	1.2472367409033123	0.8689733263197619	0.0	329.0
3300000	-1539.9527624986806	-104.02778090179798	-1435.9249815968826	0.05735337743886816	1.0641060225442438	-0.23444789807168437	-0.5538693575250272	-3.1304398099411475	-1.5451422018207301	0.8937741228737525	0.8382843768791485	1.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	1.0641060225442438	-0.23444789807168437	-0.5538693575250272	-0.0	-0.0	0.8937741228737525	0.8382843768791485	0.0	342.0
