state	Tree Length	tMRCA	External/Internal ratio	FuLiD
1967	1328.3642943123036	11.460974118010299	3.538966641702255	-17.778850298079018
1968	1333.356846932727	11.522815386111612	3.6752183054775642	-17.961987667877665
1969	1332.0372484107795	11.428600661137288	3.552953368213525	-17.799715515607968
1970	1338.455356556231	11.785955254404193	3.6004926192447524	-17.86675106394778
1971	1345.739205775061	11.963116745085678	3.5282373987251	-17.77269406208442
1972	1340.4716264254275	11.731848958848774	3.5162039991114025	-17.753570230483266
1973	1336.7303227130299	11.446219570664624	3.558820538417743	-17.80998695962176
1974	1344.9084278099192	11.486784901082064	3.6034120734251687	-17.873795741874176
1975	1347.541043283132	11.501164122990101	3.6099327379232897	-17.883727965075185
1976	1338.854870774605	11.730302964384965	3.540717154670058	-17.7864199768525
1977	1344.472938658617	11.399229315453468	3.5404621863358114	-17.788814648422115
1978	1336.6078091475172	11.497291152744701	3.520767060176751	-17.757968369109815
1979	1342.169203466949	11.416738946531527	3.6246311922883603	-17.900507518726137
1980	1340.1751506313763	11.56063369741663	3.595463655964993	-17.86090285334915
1981	1350.0954177173621	11.54124558616526	3.6249096175039135	-17.90474365292402
1982	1331.778672305616	11.869051116477666	3.581469033591618	-17.838051220064123
1983	1336.02608727575	11.452151921537268	3.6378574424811645	-17.914830961204846
1984	1332.7540942800958	11.51246707395036	3.6324700126956335	-17.906149763498636
1985	1325.436994317302	11.523810546597405	3.559533360690439	-17.80534735196532
1986	1332.191650783734	11.33984215692228	3.553547202397471	-17.800597914235432
1987	1329.803287469422	11.317612820996104	3.566309504619157	-17.816681619891927
1988	1334.824279444736	11.53827225259271	3.5727468702629666	-17.827845322796133
1989	1331.7490592830688	11.28774398807913	3.648114275448087	-17.92609151537154
1990	1344.9806334716575	11.441673689841739	3.6803398649200054	-17.974327493516977
1991	1330.048203320996	11.672762413691926	3.5172113334339703	-17.74983418145313
1992	1334.6213505404169	11.383964535963152	3.5934481165497325	-17.855477059520723
1993	1322.302990258078	11.735692981863265	3.5695605352090443	-17.817313393915576
1994	1321.5054877850318	11.782680784513792	3.6951522659484763	-17.981568494222675
1995	1320.41944780431	11.759911615363588	3.6058090890221366	-17.86480874603269
1996	1317.5192562871111	11.495996554961039	3.611726815144876	-17.871175009380153
1997	1309.168247823965	11.652068373860624	3.5744318517909814	-17.817198248675705
1998	1320.4425882337123	11.435366685339531	3.570186515970938	-17.81721967067834
1999	1332.5565821128039	11.901803371831491	3.552926976908412	-17.799936850851555
2000	1324.990777084212	11.733456543087016	3.546704942717009	-17.787716397882335
2001	1319.7644506056724	11.248811288297908	3.572262332910274	-17.819671665091946
2002	1321.3726066626828	11.550446207721702	3.629339781569488	-17.89633235666352
2003	1308.4924761541197	11.433235885024535	3.593617973324025	-17.842524585890317
2004	1295.0479279533956	11.391126520438128	3.5779414662696962	-17.814595535627003
2005	1286.0934171628296	11.492011140417262	3.5051051328721083	-17.710642337151306
2006	1296.2545426381666	11.26815685879362	3.547663601686086	-17.77434821827782
2007	1300.7059104562877	11.344907970052653	3.5994534210015616	-17.84626476230934
2008	1297.6537651348576	11.408638536277959	3.5445692198859233	-17.770868250603787
2009	1300.5547739031008	11.26155711523365	3.691700162855544	-17.96635591208328
2010	1301.4375386472855	11.478470693520993	3.531654093664336	-17.755201186068934
2011	1305.8227050232556	11.67664109942951	3.487741689728381	-17.696751398323777
2012	1310.2388171236016	11.379658308634763	3.581083783803817	-17.826672398556124
2013	1303.3727772199984	11.46635993212341	3.5467768938436293	-17.77683397656138
2014	1316.0927743336824	11.713970807218473	3.5115469050220347	-17.73503476294839
2015	1316.0466754149888	11.58549840356477	3.539790081610959	-17.77379316241147
2016	1314.3650398036657	11.537586701384086	3.5832286994730493	-17.831652156186102
2017	1318.1590348393352	11.299310143965883	3.583114141528778	-17.833425291707513
2018	1325.6690161930594	11.696636366510202	3.7014713588628503	-17.991730902785402
2019	1319.6273926973563	11.382783387921622	3.656335083488198	-17.930672900828174
2020	1313.578845671882	11.540935742927688	3.604849917799632	-17.860061209448062
2021	1299.2586681075393	11.47542718878477	3.504387306439494	-17.716523913419532
2022	1295.6016044386329	11.296762981135462	3.671059180904187	-17.93728039088542
2023	1310.6119114358798	11.349314786042104	3.639822255141406	-17.904570380672922
2024	1299.3283278435456	11.287977403960019	3.5924977379176126	-17.836291236709645
2025	1293.1006332128152	11.631330263711327	3.5826834996769006	-17.819927638859863
