# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 30 15:18:38 CET 2022 [seed=1669817914814]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.A.1213.country.cont0.dump.txt RSV.A.1213.country.xml
state	joint	prior	likelihood	country.clock.rate	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.branchRates	c_allTransitions[1]
300000	-1616.9652414346065	-140.99502507296125	-1475.9702163616453	0.08182020838685028	1.7800416118068203	-0.17570615962883404	-0.5451468366463862	0.6902167322347983	0.5967757609167876	1.0	1.0	1.0	1.0	0.0	4.0	1.7800416118068203	-0.17570615962883404	-0.5451468366463862	0.6902167322347983	0.0	0.0	340.0
310000	-1609.4128666015636	-140.99897104121396	-1468.4138955603496	0.08339319138022525	1.246814333959318	-2.377725059156045	-0.5444352257515094	0.38245624770495523	-2.48798654696036	1.0	0.0	1.0	1.0	0.0	3.0	1.246814333959318	-0.0	-0.5444352257515094	0.38245624770495523	-0.0	0.0	316.0
320000	-1618.6654244515044	-116.10520362628034	-1502.560220825224	0.0703882099217201	1.7657532560650933	0.44422314589932416	-0.7011087982488075	0.5878989390158681	1.6956672440917646	1.0	0.0	1.0	1.0	0.0	3.0	1.7657532560650933	0.0	-0.7011087982488075	0.5878989390158681	0.0	0.0	320.0
330000	-1613.55373529301	-125.78422123092298	-1487.769514062087	0.07486965021907366	1.6216315731571775	-0.10350490799319775	-0.6322979921317876	0.6782004149222446	-0.031082023927753652	1.0	0.0	1.0	1.0	0.0	3.0	1.6216315731571775	-0.0	-0.6322979921317876	0.6782004149222446	-0.0	0.0	335.0
340000	-1617.7293438968038	-115.96197352825904	-1501.7673703685448	0.06494171988691845	2.2181651727874203	-2.2072480662722596	-0.731734682167611	0.6567744575682569	0.2959581833368408	1.0	0.0	1.0	1.0	1.0	4.0	2.2181651727874203	-0.0	-0.731734682167611	0.6567744575682569	0.2959581833368408	0.0	337.0
350000	-1610.2836974792735	-122.2418115048013	-1488.0418859744723	0.07172819069111207	1.5024334076193668	-2.807256326394541	-0.5309000684491932	0.5116982743324279	-0.38541549420771665	1.0	0.0	1.0	1.0	0.0	3.0	1.5024334076193668	-0.0	-0.5309000684491932	0.5116982743324279	-0.0	0.0	327.0
360000	-1610.3045438806787	-126.50002534130577	-1483.804518539373	0.07521723251142488	1.681590986653485	1.6665842539662217	-0.5459658465822005	0.3975795980867506	-0.8564342484174948	1.0	0.0	1.0	1.0	0.0	3.0	1.681590986653485	0.0	-0.5459658465822005	0.3975795980867506	-0.0	0.0	343.0
370000	-1604.9924403540083	-121.93148311357237	-1483.060957240436	0.07027426768469797	1.6653002953974434	2.159362176052033	-0.5294634100066435	0.5719484288708879	0.8492680223449158	1.0	0.0	1.0	1.0	0.0	3.0	1.6653002953974434	0.0	-0.5294634100066435	0.5719484288708879	0.0	0.0	333.0
380000	-1611.2313131673502	-131.96532376968113	-1479.265989397669	0.07887496074439458	1.7900199570871058	0.6500773137189603	-0.5992782317310996	0.4315435324384776	-2.335133656273597	1.0	0.0	1.0	1.0	0.0	3.0	1.7900199570871058	0.0	-0.5992782317310996	0.4315435324384776	-0.0	0.0	332.0
390000	-1610.162446314709	-130.19180917009015	-1479.9706371446189	0.07456945461046866	1.6041107475275282	2.2184229106079147	-0.6788081292258542	0.5551446482654285	-4.0444898469074655	1.0	0.0	1.0	1.0	0.0	3.0	1.6041107475275282	0.0	-0.6788081292258542	0.5551446482654285	-0.0	0.0	324.0
400000	-1614.9756772897115	-118.40349433079018	-1496.5721829589213	0.06891392638677754	1.718777181721624	-1.86395223432993	-0.5562130314664756	0.4517690744230782	0.3632881378449532	1.0	0.0	1.0	1.0	1.0	4.0	1.718777181721624	-0.0	-0.5562130314664756	0.4517690744230782	0.3632881378449532	0.0	326.0
410000	-1604.7348330587997	-130.857546371912	-1473.8772866868876	0.07667815392163767	1.8874959395065014	1.3486848430497804	-0.6233578083073361	0.4491907051996534	0.14344697741893134	1.0	0.0	1.0	1.0	1.0	4.0	1.8874959395065014	0.0	-0.6233578083073361	0.4491907051996534	0.14344697741893134	0.0	330.0
420000	-1619.322460643492	-122.37086438244788	-1496.951596261044	0.07135096881408665	1.7604899931438136	3.628663850829904	-0.8280362702290226	0.5922635671156797	1.2042918693059215	1.0	0.0	1.0	1.0	0.0	3.0	1.7604899931438136	0.0	-0.8280362702290226	0.5922635671156797	0.0	0.0	322.0
