# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Dec 01 10:35:30 CET 2022 [seed=1669887324584]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.AB.country.cont0.dump.txt RSV.AB.country.xml
state	joint	prior	likelihood	country.clock.rate.A	country.clock.rate.B	country.coefficients.early1	country.coefficients.early2	country.coefficients.early3	country.coefficients.early4	country.coefficients.early5	country.coefIndicators.early1	country.coefIndicators.early2	country.coefIndicators.early3	country.coefIndicators.early4	country.coefIndicators.early5	country.includedPredictors.early	country.coefficientsTimesIndicators.early1	country.coefficientsTimesIndicators.early2	country.coefficientsTimesIndicators.early3	country.coefficientsTimesIndicators.early4	country.coefficientsTimesIndicators.early5	country.coefficients.recent1	country.coefficients.recent2	country.coefficients.recent3	country.coefficients.recent4	country.coefficients.recent5	country.coefIndicators.recent1	country.coefIndicators.recent2	country.coefIndicators.recent3	country.coefIndicators.recent4	country.coefIndicators.recent5	country.includedPredictors.recent	country.coefficientsTimesIndicators.recent1	country.coefficientsTimesIndicators.recent2	country.coefficientsTimesIndicators.recent3	country.coefficientsTimesIndicators.recent4	country.coefficientsTimesIndicators.recent5	country.branchRates.A	country.branchRates.B	country.treeLikelihood.A	country.treeLikelihood.B
4170000	-3483.3044918938253	-319.4746020589705	-3163.829889834855	0.09316131307724285	0.1456450725578022	1.3204013531170264	-0.18701054027544517	-0.6919317615323424	1.0797552943165614	0.6354499518239628	1.0	0.0	1.0	1.0	1.0	4.0	1.3204013531170264	-0.0	-0.6919317615323424	1.0797552943165614	0.6354499518239628	1.1803674658318337	-1.6075522531386397	-0.5313853634860103	0.4399972338222604	0.7192479917845604	1.0	1.0	1.0	1.0	0.0	4.0	1.1803674658318337	-1.6075522531386397	-0.5313853634860103	0.4399972338222604	0.0	0.0	0.0	-1430.365855776656	-1733.4640340581986
4180000	-3480.5322312204185	-306.70718290046835	-3173.82504831995	0.08106777237293104	0.14622491094604165	1.1251125636787738	1.9020858099868632	-0.5713567685169259	0.5247881341797569	1.1292547264955424	1.0	0.0	1.0	1.0	1.0	4.0	1.1251125636787738	0.0	-0.5713567685169259	0.5247881341797569	1.1292547264955424	1.1457472890353093	-1.3946498227932382	-0.5700171514943504	0.6094396327486656	-4.185653134297445	1.0	1.0	1.0	1.0	0.0	4.0	1.1457472890353093	-1.3946498227932382	-0.5700171514943504	0.6094396327486656	-0.0	0.0	0.0	-1447.4318713177909	-1726.3931770021593
4190000	-3483.031937274915	-316.17056562576414	-3166.861371649151	0.08089126300512162	0.15669574695050123	2.1857448702471056	2.381320343999452	-0.7823750839926985	0.9329835123184739	0.69444564708655	1.0	0.0	1.0	1.0	1.0	4.0	2.1857448702471056	0.0	-0.7823750839926985	0.9329835123184739	0.69444564708655	1.183797864336901	-1.512614520120874	-0.5522404425860824	0.6168850382058252	3.649942724321614	1.0	1.0	1.0	1.0	0.0	4.0	1.183797864336901	-1.512614520120874	-0.5522404425860824	0.6168850382058252	0.0	0.0	0.0	-1446.7124272307449	-1720.148944418406
4200000	-3487.2156402277215	-307.73123076244525	-3179.4844094652763	0.07964347504188252	0.14950372762257585	1.2934085829824131	1.0921163686093933	-0.49149442626883116	0.6732575207013248	1.6147161245908348	1.0	0.0	1.0	0.0	1.0	3.0	1.2934085829824131	0.0	-0.49149442626883116	0.0	1.6147161245908348	1.3464498580671473	-1.514335308626742	-0.5146091730681724	0.5141221478110456	-2.129979529285299	1.0	1.0	1.0	1.0	0.0	4.0	1.3464498580671473	-1.514335308626742	-0.5146091730681724	0.5141221478110456	-0.0	0.0	0.0	-1446.6339329876819	-1732.8504764775942
4210000	-3475.485802632427	-304.3672998509916	-3171.1185027814354	0.07827058830697702	0.14614213510424923	1.186748699257984	2.7677619373798694	-0.7964039771211133	0.5810853887637123	1.2739885032852918	1.0	0.0	1.0	1.0	1.0	4.0	1.186748699257984	0.0	-0.7964039771211133	0.5810853887637123	1.2739885032852918	1.1911585926050348	-1.774364504888602	-0.515909325496185	0.4667414811496464	0.6821700150545289	1.0	1.0	1.0	1.0	0.0	4.0	1.1911585926050348	-1.774364504888602	-0.515909325496185	0.4667414811496464	0.0	0.0	0.0	-1448.406852966903	-1722.7116498145326
4220000	-3491.126116846021	-297.22020382247905	-3193.905913023542	0.07381247510893778	0.147407526271989	1.4376424386712852	-2.6692162636584436	-0.6781075295518675	0.7428350704420964	0.9720223408915662	1.0	0.0	1.0	1.0	1.0	4.0	1.4376424386712852	-0.0	-0.6781075295518675	0.7428350704420964	0.9720223408915662	1.387295405071359	-1.4679979696396361	-0.5838552636608121	0.7355351774842079	-2.6310940990926497	1.0	1.0	1.0	1.0	0.0	4.0	1.387295405071359	-1.4679979696396361	-0.5838552636608121	0.7355351774842079	-0.0	0.0	0.0	-1466.3934441481172	-1727.5124688754245
4230000	-3485.6890526761963	-312.01406414875134	-3173.674988527445	0.0840720395939458	0.14777087355420515	1.378264456016646	-1.8961149574455791	-0.6523547960545093	0.742611017432508	1.9321170783333597	1.0	0.0	1.0	0.0	1.0	3.0	1.378264456016646	-0.0	-0.6523547960545093	0.0	1.9321170783333597	1.213423273241154	-1.4823444541447113	-0.4839065231277126	0.5117301053248031	0.6950051929892012	1.0	1.0	1.0	1.0	0.0	4.0	1.213423273241154	-1.4823444541447113	-0.4839065231277126	0.5117301053248031	0.0	0.0	0.0	-1445.487337195088	-1728.1876513323566
4240000	-3466.2420973271655	-306.7628253474867	-3159.4792719796787	0.08482357079112926	0.1459491010032435	0.8079323045263545	0.23478802951631503	-0.5425922594196048	0.9538478968295853	0.7639865104929779	1.0	0.0	1.0	1.0	1.0	4.0	0.8079323045263545	0.0	-0.5425922594196048	0.9538478968295853	0.7639865104929779	1.3837203802495428	-1.7172851407250218	-0.6557721509305219	0.5503077587699811	2.4359565979796485	1.0	1.0	1.0	1.0	0.0	4.0	1.3837203802495428	-1.7172851407250218	-0.6557721509305219	0.5503077587699811	0.0	0.0	0.0	-1427.237655975202	-1732.2416160044766
4250000	-3472.5787045063876	-300.91072084555844	-3171.667983660829	0.07916796827409203	0.1442221201247426	1.53142736100503	-1.9222538846239423	-0.6601918633187622	0.30636639526776005	1.9895270573492136	1.0	0.0	1.0	1.0	1.0	4.0	1.53142736100503	-0.0	-0.6601918633187622	0.30636639526776005	1.9895270573492136	1.2584184118473263	-1.6108506219300291	-0.5248092465981766	0.5600935028442182	-0.9499819968272862	1.0	1.0	1.0	1.0	0.0	4.0	1.2584184118473263	-1.6108506219300291	-0.5248092465981766	0.5600935028442182	-0.0	0.0	0.0	-1451.5591743507225	-1720.1088093101068
4260000	-3467.02424899271	-317.84122378539223	-3149.1830252073178	0.07943765918471436	0.15242947142958954	1.1969053396922764	2.1947492005724363	-0.7189386978318266	3.3501900300839336	1.637553713245786	1.0	0.0	1.0	0.0	1.0	3.0	1.1969053396922764	0.0	-0.7189386978318266	0.0	1.637553713245786	1.268215296883953	-1.7125084181570593	-0.5881179520281081	0.6680681861843336	-0.4263060130267792	1.0	1.0	1.0	1.0	0.0	4.0	1.268215296883953	-1.7125084181570593	-0.5881179520281081	0.6680681861843336	-0.0	0.0	0.0	-1445.9151048763908	-1703.267920330927
4270000	-3470.1955282627287	-301.96858165157187	-3168.226946611157	0.08016137815262156	0.1443504660206041	1.4466047478690405	1.9218839203226663	-0.5476771408084433	0.6620984422530038	1.0299821798504674	1.0	0.0	1.0	1.0	1.0	4.0	1.4466047478690405	0.0	-0.5476771408084433	0.6620984422530038	1.0299821798504674	1.1820495713613086	-1.5945904535472608	-0.48250334634302433	0.5920532323085766	0.71412510523486	1.0	1.0	1.0	1.0	0.0	4.0	1.1820495713613086	-1.5945904535472608	-0.48250334634302433	0.5920532323085766	0.0	0.0	0.0	-1439.2287823016536	-1728.9981643095034
4280000	-3465.870543775218	-322.1144514136023	-3143.7560923616156	0.07865248004481774	0.1623912980852899	1.7653769568383753	-2.6114917970789664	-0.8874111656622319	0.5630056988716369	1.0783698903600452	1.0	0.0	1.0	1.0	1.0	4.0	1.7653769568383753	-0.0	-0.8874111656622319	0.5630056988716369	1.0783698903600452	1.3475851908595076	-1.538918373516293	-0.5371708189111872	0.5770984011537097	-0.6831939399784339	1.0	1.0	1.0	1.0	0.0	4.0	1.3475851908595076	-1.538918373516293	-0.5371708189111872	0.5770984011537097	-0.0	0.0	0.0	-1444.6127720915247	-1699.143320270091
4290000	-3472.8412641882915	-307.11144688986155	-3165.7298172984297	0.07505105847476778	0.1525775340387374	0.8574240161156458	0.9091561633060868	-0.6104446132999326	0.16817538478591226	1.3702332791566565	1.0	0.0	1.0	1.0	1.0	4.0	0.8574240161156458	0.0	-0.6104446132999326	0.16817538478591226	1.3702332791566565	1.363073198281047	-1.5810327730786393	-0.6606740347549468	0.7267454497853548	-1.8495777823080763	1.0	1.0	1.0	1.0	0.0	4.0	1.363073198281047	-1.5810327730786393	-0.6606740347549468	0.7267454497853548	-0.0	0.0	0.0	-1449.529617985828	-1716.2001993126016
4300000	-3476.6690061690047	-293.1774365956101	-3183.4915695733944	0.07312700628158	0.14965342784177602	1.5018699850725974	-0.640984047871906	-0.6638633595708442	0.38902666788336643	2.0322504541895636	1.0	0.0	1.0	0.0	1.0	3.0	1.5018699850725974	-0.0	-0.6638633595708442	0.0	2.0322504541895636	1.3065253641783872	-1.57837268252492	-0.5233324905550804	0.6410219575918855	2.111596982637534	1.0	1.0	1.0	1.0	0.0	4.0	1.3065253641783872	-1.57837268252492	-0.5233324905550804	0.6410219575918855	0.0	0.0	0.0	-1458.0519634602733	-1725.4396061131213
4310000	-3485.2295103491697	-337.16046882863634	-3148.069041520533	0.08216791554929839	0.1697091858835247	1.554148997045691	0.6478637227627196	-0.7915087271033379	2.4331035258234706	2.4700051854666585	1.0	0.0	1.0	0.0	1.0	3.0	1.554148997045691	0.0	-0.7915087271033379	0.0	2.4700051854666585	1.2249277641153073	-0.6792075922870684	-0.4429677669725692	0.2985211080652652	-0.30541205991159026	1.0	1.0	1.0	1.0	0.0	4.0	1.2249277641153073	-0.6792075922870684	-0.4429677669725692	0.2985211080652652	-0.0	0.0	0.0	-1452.4322736288157	-1695.6367678917175
4320000	-3481.7945735345015	-286.9976159561526	-3194.796957578349	0.06677597422431766	0.14609117207318137	1.9042287013579267	2.290622248195791	-0.887252376144092	0.34680179875148726	1.6292651289819724	1.0	0.0	1.0	1.0	1.0	4.0	1.9042287013579267	0.0	-0.887252376144092	0.34680179875148726	1.6292651289819724	1.3133586177480645	-1.6447390980091314	-0.5567662525091958	0.6347650896252042	0.620042313287225	1.0	1.0	1.0	1.0	0.0	4.0	1.3133586177480645	-1.6447390980091314	-0.5567662525091958	0.6347650896252042	0.0	0.0	0.0	-1467.5827800624852	-1727.214177515864
4330000	-3468.1423112923717	-298.8714275905408	-3169.270883701831	0.07089669476188423	0.1558060136665217	1.7619463997479072	2.275211648473606	-0.6236641155308849	0.6111828998830733	1.1765243014334195	1.0	0.0	1.0	1.0	1.0	4.0	1.7619463997479072	0.0	-0.6236641155308849	0.6111828998830733	1.1765243014334195	1.3780972500992108	-1.7222502294796065	-0.6636502732981769	0.7150743123028634	-0.9478679074179408	1.0	1.0	1.0	1.0	0.0	4.0	1.3780972500992108	-1.7222502294796065	-0.6636502732981769	0.7150743123028634	-0.0	0.0	0.0	-1455.6303005549348	-1713.6405831468962
4340000	-3461.712436138634	-320.93461091491963	-3140.7778252237144	0.08237507824776323	0.15817430811889738	1.6714724173084883	2.8485547275917495	-0.4697320013184801	0.5625320669255162	1.4608476279977267	1.0	0.0	1.0	1.0	1.0	4.0	1.6714724173084883	0.0	-0.4697320013184801	0.5625320669255162	1.4608476279977267	1.2768493541991162	-1.527324217269269	-0.5149354787572434	0.5512506905135175	2.9875551509227396	1.0	1.0	1.0	1.0	0.0	4.0	1.2768493541991162	-1.527324217269269	-0.5149354787572434	0.5512506905135175	0.0	0.0	0.0	-1437.016789605561	-1703.7610356181535
4350000	-3460.033580988646	-302.84154370676106	-3157.192037281885	0.07860447854104417	0.14545962937444826	1.3387814300280063	-0.5712818132935782	-0.9517099153573102	0.597302669999294	0.5581392905202529	1.0	0.0	1.0	1.0	1.0	4.0	1.3387814300280063	-0.0	-0.9517099153573102	0.597302669999294	0.5581392905202529	1.2042976278670054	-1.7304725003671366	-0.5156212508786273	0.5513212491745847	4.552093659168628	1.0	1.0	1.0	1.0	0.0	4.0	1.2042976278670054	-1.7304725003671366	-0.5156212508786273	0.5513212491745847	0.0	0.0	0.0	-1441.3872217983767	-1715.804815483508
