# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 30 15:20:57 CET 2022 [seed=1669818054187]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.A.1213.country.cont0.dump.txt RSV.A.1213.country.xml
state	joint	prior	likelihood	country.clock.rate	country.coefficients.early1	country.coefficients.early2	country.coefficients.early3	country.coefficients.early4	country.coefficients.early5	country.coefIndicators.early1	country.coefIndicators.early2	country.coefIndicators.early3	country.coefIndicators.early4	country.coefIndicators.early5	country.includedPredictors.early	country.coefficientsTimesIndicators.early1	country.coefficientsTimesIndicators.early2	country.coefficientsTimesIndicators.early3	country.coefficientsTimesIndicators.early4	country.coefficientsTimesIndicators.early5	country.coefficients.recent1	country.coefficients.recent2	country.coefficients.recent3	country.coefficients.recent4	country.coefficients.recent5	country.coefIndicators.recent1	country.coefIndicators.recent2	country.coefIndicators.recent3	country.coefIndicators.recent4	country.coefIndicators.recent5	country.includedPredictors.recent	country.coefficientsTimesIndicators.recent1	country.coefficientsTimesIndicators.recent2	country.coefficientsTimesIndicators.recent3	country.coefficientsTimesIndicators.recent4	country.coefficientsTimesIndicators.recent5	country.branchRates
100000	-1583.7654231602746	-155.9545992817182	-1427.8108238785564	0.07964596782456375	0.9682254949694894	0.7117123929739573	-0.6756488838856097	5.159105821348703	-1.9782898100799002	1.0	1.0	1.0	1.0	0.0	4.0	0.9682254949694894	0.7117123929739573	-0.6756488838856097	5.159105821348703	-0.0	2.0086411595469995	0.1804337172160183	-0.6952185660936667	0.44449182713592295	0.005473750399952876	1.0	0.0	1.0	1.0	0.0	3.0	2.0086411595469995	0.0	-0.6952185660936667	0.44449182713592295	0.0	0.0
110000	-1579.7484154690467	-162.98441535397987	-1416.764000115067	0.08580708599442043	0.9476232108931838	0.5170259875053459	-0.6620769347012309	5.086523205602947	-2.951410721448408	1.0	1.0	1.0	1.0	0.0	4.0	0.9476232108931838	0.5170259875053459	-0.6620769347012309	5.086523205602947	-0.0	1.9474087260100885	0.5929235911772035	-0.6802343904584148	0.38438085147585394	0.14207404298119064	1.0	0.0	1.0	1.0	1.0	4.0	1.9474087260100885	0.0	-0.6802343904584148	0.38438085147585394	0.14207404298119064	0.0
120000	-1594.5402998836678	-170.58061586095886	-1423.9596840227089	0.08932972424944823	0.6254648894471961	0.8586174225899996	-1.8338660785544505	5.174696001897974	-2.7964114915242932	1.0	1.0	0.0	1.0	0.0	3.0	0.6254648894471961	0.8586174225899996	-0.0	5.174696001897974	-0.0	2.0699141319582375	1.192692490389675	-0.781467868521894	0.43833061092968917	-1.6972680499328334	1.0	0.0	1.0	1.0	0.0	3.0	2.0699141319582375	0.0	-0.781467868521894	0.43833061092968917	-0.0	0.0
130000	-1593.9105892337427	-168.4457155761962	-1425.4648736575466	0.08819770378944179	1.1747006499966446	0.3644373661127807	-0.8078197467075388	4.976900668026088	-2.741188309435963	1.0	1.0	1.0	1.0	0.0	4.0	1.1747006499966446	0.3644373661127807	-0.8078197467075388	4.976900668026088	-0.0	2.0066814968198545	1.2550521419544334	-0.7162810938240788	0.6738346666028139	0.6344854788447905	1.0	0.0	1.0	1.0	0.0	3.0	2.0066814968198545	0.0	-0.7162810938240788	0.6738346666028139	0.0	0.0
140000	-1590.6029623760162	-157.60191450249164	-1433.0010478735246	0.0766373829377439	0.7400190988330162	1.1286870575547745	-0.2158403754280634	5.661035797388023	-2.826710921947471	1.0	1.0	1.0	1.0	0.0	4.0	0.7400190988330162	1.1286870575547745	-0.2158403754280634	5.661035797388023	-0.0	2.037624397515177	-1.6990026470361972	-0.7937166861221783	0.582373134877195	-2.695239769514907	1.0	0.0	1.0	1.0	0.0	3.0	2.037624397515177	-0.0	-0.7937166861221783	0.582373134877195	-0.0	0.0
150000	-1577.339986528388	-155.75646500164447	-1421.5835215267434	0.0810942343143322	0.46492131505906586	0.9672939854548072	-0.4865466867042533	4.042312897768411	-0.0778213940969536	1.0	1.0	1.0	1.0	0.0	4.0	0.46492131505906586	0.9672939854548072	-0.4865466867042533	4.042312897768411	-0.0	2.265165055232967	-1.233545883250517	-0.8047658349453124	0.5907925101513336	3.693890503385773	1.0	0.0	1.0	1.0	0.0	3.0	2.265165055232967	-0.0	-0.8047658349453124	0.5907925101513336	0.0	0.0
160000	-1602.8246786728548	-159.57370262473245	-1443.2509760481223	0.08340311790485153	1.4731593400042313	0.12201123268756664	-0.5893114961173618	4.771634941879721	-1.7685089258111844	1.0	1.0	1.0	1.0	0.0	4.0	1.4731593400042313	0.12201123268756664	-0.5893114961173618	4.771634941879721	-0.0	1.5231390138368521	-1.054046839387115	-0.6606787841426132	0.2469269877050868	-2.59189052269569	1.0	0.0	1.0	1.0	0.0	3.0	1.5231390138368521	-0.0	-0.6606787841426132	0.2469269877050868	-0.0	0.0
170000	-1589.9220425018445	-150.93878597301847	-1438.9832565288261	0.07836835619190963	0.5778787437864064	0.9810020913954309	-0.2875310322835751	4.232217551416082	2.6173986454638056	1.0	1.0	1.0	1.0	0.0	4.0	0.5778787437864064	0.9810020913954309	-0.2875310322835751	4.232217551416082	0.0	2.1604436292675278	0.5003493359800548	-0.6625462056727599	0.5179506600983765	-0.8510849821361798	1.0	0.0	1.0	1.0	0.0	3.0	2.1604436292675278	0.0	-0.6625462056727599	0.5179506600983765	-0.0	0.0
180000	-1592.3224762462887	-169.12823189880197	-1423.1942443474868	0.08840695151773921	1.2031448411613477	-1.2239402707352613	-0.6533399442442707	4.566211360989524	-1.8886733353537717	1.0	0.0	1.0	1.0	0.0	3.0	1.2031448411613477	-0.0	-0.6533399442442707	4.566211360989524	-0.0	1.9676833584343767	0.9602996560411884	-0.8095445347635506	0.5087599477870358	-3.0557649763513117	1.0	0.0	1.0	1.0	0.0	3.0	1.9676833584343767	0.0	-0.8095445347635506	0.5087599477870358	-0.0	0.0
190000	-1592.366004454494	-168.6426959842259	-1423.7233084702682	0.08597630260897474	1.0699444507733236	0.6951575954127267	-0.5537448353138441	5.7521326370564	5.39203190485136	1.0	1.0	1.0	1.0	0.0	4.0	1.0699444507733236	0.6951575954127267	-0.5537448353138441	5.7521326370564	0.0	2.017453159460889	-2.1799351183206688	-0.7774292941676759	0.6329025687441333	-0.9404221776079811	1.0	0.0	1.0	1.0	0.0	3.0	2.017453159460889	-0.0	-0.7774292941676759	0.6329025687441333	-0.0	0.0
